Reading Airport file from airports.txt
Read Airports: There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Read Routes: There were 68292 routes with IATA code
Calculating Page Rank
PageRank Result:
472 : 0.000420713060074 -> La Aurora, Guatemala
473 : 0.000416270539864 -> Torp, Norway
474 : 0.000414427508796 -> Pristina, Serbia
475 : 0.000413398838062 -> Kurumoch, Russia
476 : 0.000408557026163 -> Dongshan, China
477 : 0.000407661727378 -> Bandar Abbass Intl, Iran
478 : 0.0004072681416 -> Moss, Norway
479 : 0.000406865336727 -> Kazan, Russia
480 : 0.000403775695735 -> Pashkovskiy, Russia
481 : 0.000403029010762 -> Billings Logan International Airport, United States
482 : 0.000402068673608 -> Mount Isa, Australia
483 : 0.000400736137692 -> Irkutsk, Russia
484 : 0.00039847013445 -> Billund, Denmark
485 : 0.000398453648989 -> Santorini, Greece
486 : 0.000396431683755 -> Siem Reap, Cambodia
487 : 0.000394140533523 -> Sentani, Indonesia
488 : 0.000390735686119 -> Goiabeiras, Brazil
489 : 0.000388426620475 -> Sungshan, Taiwan
490 : 0.000388105351294 -> Enfidha - Zine El Abidine Ben Ali International Airport, Tunisia
491 : 0.000387913668901 -> Danang Intl, Vietnam
492 : 0.000386734144756 -> Zhuhai Airport, China
493 : 0.000386100701995 -> Pune, India
494 : 0.00038372408411 -> Governador Jorge Teixeira De Oliveira, Brazil
495 : 0.000383357721708 -> Cork, Ireland
496 : 0.000382819606621 -> Sondre Stromfjord, Greenland
497 : 0.000382785419804 -> Villafranca, Italy
498 : 0.000382781241922 -> Palm Beach Intl, United States
